#1:nx	2:kx	3:n	4:f(n)
0	0	0	0.120186
0	0	1	0.120186
0	0	2	0.120237
0	0	3	0.120241
0	0	4	0.120317
0	0	5	0.120331
0	0	6	0.120423
0	0	7	0.120444
0	0	8	0.120559
0	0	9	0.12056
0	0	10	0.120671
0	0	11	0.120714
0	0	12	0.120813
0	0	13	0.120815
0	0	14	0.120888
0	0	15	0.12092
0	0	16	0.120951
0	0	17	0.121102
0	0	18	0.121472
0	0	19	0.121942
0	0	20	0.122516
0	0	21	0.123204
0	0	22	0.124013
0	0	23	0.124954
0	0	24	0.126034
0	0	25	0.127262
0	0	26	0.128648
0	0	27	0.130197
0	0	28	0.131918
0	0	29	0.133816
0	0	30	0.135895
0	0	31	0.138158
0	0	32	0.140604
0	0	33	0.143232
0	0	34	0.146035
0	0	35	0.149002
0	0	36	0.152118
0	0	37	0.155362
0	0	38	0.158704
0	0	39	0.162108
0	0	40	0.16553
0	0	41	0.168917
0	0	42	0.172206
0	0	43	0.175329
0	0	44	0.178211
0	0	45	0.180776
0	0	46	0.18295
0	0	47	0.18467
0	0	48	0.185891
0	0	49	0.186605
0	0	50	0.683496
0	0	51	0.686408
0	0	52	0.69118
0	0	53	0.697695
0	0	54	0.7058
0	0	55	0.715311
0	0	56	0.726027
0	0	57	0.737733
0	0	58	0.750211
0	0	59	0.763246
0	0	60	0.776631
0	0	61	0.790174
0	0	62	0.803699
0	0	63	0.817049
0	0	64	0.830088
0	0	65	0.842702
0	0	66	0.8548
0	0	67	0.866312
0	0	68	0.877185
0	0	69	0.887388
0	0	70	0.896904
0	0	71	0.90573
0	0	72	0.913874
0	0	73	0.921356
0	0	74	0.928199
0	0	75	0.934436
0	0	76	0.940101
0	0	77	0.94523
0	0	78	0.949862
0	0	79	0.954034
0	0	80	0.957784
0	0	81	0.961147
0	0	82	0.964156
0	0	83	0.966845
0	0	84	0.969242
0	0	85	0.971375
0	0	86	0.973268
0	0	87	0.974945
0	0	88	0.976425
0	0	89	0.977727
0	0	90	0.978866
0	0	91	0.979858
0	0	92	0.980715
0	0	93	0.981447
0	0	94	0.982064
0	0	95	0.982573
0	0	96	0.982981
0	0	97	0.983293
0	0	98	0.983513
0	0	99	0.983644
1	0.125664	0	0.119803
1	0.125664	1	0.119805
1	0.125664	2	0.119865
1	0.125664	3	0.119869
1	0.125664	4	0.119966
1	0.125664	5	0.119967
1	0.125664	6	0.120092
1	0.125664	7	0.120108
1	0.125664	8	0.120237
1	0.125664	9	0.120276
1	0.125664	10	0.120415
1	0.125664	11	0.120433
1	0.125664	12	0.120573
1	0.125664	13	0.120627
1	0.125664	14	0.12074
1	0.125664	15	0.120754
1	0.125664	16	0.120843
1	0.125664	17	0.120885
1	0.125664	18	0.120922
1	0.125664	19	0.121096
1	0.125664	20	0.121559
1	0.125664	21	0.122135
1	0.125664	22	0.122827
1	0.125664	23	0.123641
1	0.125664	24	0.124586
1	0.125664	25	0.125669
1	0.125664	26	0.126897
1	0.125664	27	0.128276
1	0.125664	28	0.129814
1	0.125664	29	0.131514
1	0.125664	30	0.133379
1	0.125664	31	0.135412
1	0.125664	32	0.137611
1	0.125664	33	0.139973
1	0.125664	34	0.142491
1	0.125664	35	0.145154
1	0.125664	36	0.147947
1	0.125664	37	0.15085
1	0.125664	38	0.153834
1	0.125664	39	0.156868
1	0.125664	40	0.159909
1	0.125664	41	0.162911
1	0.125664	42	0.165817
1	0.125664	43	0.168568
1	0.125664	44	0.171097
1	0.125664	45	0.173339
1	0.125664	46	0.175228
1	0.125664	47	0.176704
1	0.125664	48	0.177718
1	0.125664	49	0.178246
1	0.125664	50	0.695178
1	0.125664	51	0.697889
1	0.125664	52	0.702336
1	0.125664	53	0.708417
1	0.125664	54	0.715995
1	0.125664	55	0.724907
1	0.125664	56	0.73497
1	0.125664	57	0.74599
1	0.125664	58	0.757766
1	0.125664	59	0.770099
1	0.125664	60	0.782796
1	0.125664	61	0.795674
1	0.125664	62	0.808567
1	0.125664	63	0.821324
1	0.125664	64	0.833813
1	0.125664	65	0.845924
1	0.125664	66	0.857565
1	0.125664	67	0.868666
1	0.125664	68	0.879174
1	0.125664	69	0.889054
1	0.125664	70	0.898288
1	0.125664	71	0.906868
1	0.125664	72	0.914801
1	0.125664	73	0.922101
1	0.125664	74	0.928791
1	0.125664	75	0.934897
1	0.125664	76	0.940453
1	0.125664	77	0.945491
1	0.125664	78	0.950046
1	0.125664	79	0.954156
1	0.125664	80	0.957854
1	0.125664	81	0.961175
1	0.125664	82	0.96415
1	0.125664	83	0.966811
1	0.125664	84	0.969186
1	0.125664	85	0.971301
1	0.125664	86	0.973181
1	0.125664	87	0.974847
