#1:nx	2:kx	3:1.abs	4:1.angle	5:2.abs	6:2.angle	7:tr.abs	8:tr.angle,	9:rho_kappa.tr
0	0	0.483343	-1.61987e-18	0.483343	8.03939e-16	0.966685	4.0116e-16	0.966685
1	0.0628319	0.483292	-0.000100069	0.483378	0.000100069	0.96667	8.91945e-09	0.96667
2	0.125664	0.483227	-0.000202885	0.483399	0.000202885	0.966626	3.61853e-08	0.966626
3	0.188496	0.483146	-0.000311299	0.483405	0.000311299	0.966551	8.33514e-08	0.966551
4	0.251327	0.48305	-0.000428381	0.483396	0.000428381	0.966446	1.53114e-07	0.966446
5	0.314159	0.482939	-0.000557538	0.483371	0.000557538	0.96631	2.4948e-07	0.96631
6	0.376991	0.482811	-0.00070265	0.483331	0.00070265	0.966143	3.78027e-07	0.966143
7	0.439823	0.482668	-0.000868242	0.483276	0.000868242	0.965943	5.46262e-07	0.965944
8	0.502655	0.482508	-0.00105967	0.483204	0.00105967	0.965711	7.64138e-07	0.965712
9	0.565487	0.48233	-0.00128338	0.483116	0.00128338	0.965445	1.04474e-06	0.965446
10	0.628319	0.482134	-0.00154721	0.483011	0.00154721	0.965144	1.40526e-06	0.965145
11	0.69115	0.48192	-0.00186082	0.482888	0.00186082	0.964806	1.86826e-06	0.964808
12	0.753982	0.481685	-0.0022362	0.482748	0.0022362	0.964431	2.46351e-06	0.964433
13	0.816814	0.48143	-0.00268847	0.482589	0.00268847	0.964015	3.23047e-06	0.964019
14	0.879646	0.481153	-0.00323682	0.48241	0.00323682	0.963558	4.22173e-06	0.963564
15	0.942478	0.480853	-0.00390597	0.482211	0.00390597	0.963057	5.50794e-06	0.963065
16	1.00531	0.480528	-0.00472811	0.481991	0.00472811	0.962509	7.18471e-06	0.96252
17	1.06814	0.480178	-0.00574565	0.481749	0.00574565	0.961911	9.38268e-06	0.961927
18	1.13097	0.4798	-0.00701519	0.481483	0.00701519	0.961259	1.2282e-05	0.961283
19	1.19381	0.479392	-0.00861326	0.481191	0.00861326	0.960548	1.61337e-05	0.960585
20	1.25664	0.478953	-0.0106447	0.480873	0.0106447	0.959772	2.1292e-05	0.959828
21	1.31947	0.478482	-0.0132553	0.480526	0.0132553	0.958924	2.82626e-05	0.95901
22	1.3823	0.477975	-0.0166504	0.480148	0.0166504	0.95799	3.77784e-05	0.958125
23	1.44513	0.47743	-0.0211246	0.479737	0.0211246	0.956954	5.09188e-05	0.95717
