##1:nx	2:kx	3:prod_amp	4:tot_phase	5:tot_winding	6:amp_1	7:phase_1	8:amp_2	9:phase_2
0	0	0.983416	-0.0547151	0	0.991673	-0.0273576	0.991673	-0.0273576
1	0.0628319	0.983393	-0.0548007	0	0.991656	-0.0324401	0.991667	-0.0223606
2	0.125664	0.983323	-0.0550585	0	0.991616	-0.0376381	0.991637	-0.0174204
3	0.188496	0.983205	-0.055492	0	0.991552	-0.0429828	0.991583	-0.0125091
4	0.251327	0.983039	-0.0561065	0	0.991463	-0.0485078	0.991504	-0.00759877
5	0.314159	0.982822	-0.0569103	0	0.991348	-0.0542489	0.9914	-0.00266141
6	0.376991	0.982552	-0.057914	0	0.991206	-0.0602456	0.991269	0.00233158
7	0.439823	0.982225	-0.0591312	0	0.991036	-0.0665411	0.991109	0.00740984
8	0.502655	0.981838	-0.0605791	0	0.990835	-0.0731837	0.990919	0.0126046
9	0.565487	0.981385	-0.0622785	0	0.990601	-0.0802275	0.990696	0.0179489
10	0.628319	0.98086	-0.0642549	0	0.990331	-0.0877337	0.990437	0.0234788
11	0.69115	0.980257	-0.0665389	0	0.990021	-0.0957722	0.990137	0.0292333
12	0.753982	0.979566	-0.0691678	0	0.989667	-0.104423	0.989793	0.0352556
13	0.816814	0.978777	-0.0721861	0	0.989264	-0.11378	0.989399	0.0415941
14	0.879646	0.977877	-0.0756482	0	0.988805	-0.123951	0.988948	0.0483032
15	0.942478	0.97685	-0.0796194	0	0.988283	-0.135064	0.988432	0.0554447
16	1.00531	0.975679	-0.0841796	0	0.987688	-0.147269	0.987841	0.0630898
17	1.06814	0.974339	-0.0894261	0	0.987011	-0.160747	0.987161	0.0713212
18	1.13097	0.972802	-0.0954784	0	0.986236	-0.175714	0.986378	0.0802356
19	1.19381	0.971033	-0.102484	0	0.985349	-0.192431	0.985472	0.0899474
20	1.25664	0.968988	-0.110626	0	0.984328	-0.211219	0.984416	0.100594
21	1.31947	0.96661	-0.120131	0	0.983149	-0.232473	0.983178	0.112342
22	1.3823	0.963827	-0.131287	0	0.981713	0.125398	0.98178	-0.256685
23	1.44513	0.960543	-0.14445	0	0.979962	0.140025	0.980184	-0.284475
24	1.50796	0.956633	-0.160069	0	0.977842	0.156565	0.97831	-0.316634
25	1.5708	0.951926	-0.178697	0	0.975235	0.175486	0.976099	-0.354183
26	1.63363	0.946183	-0.200994	0	0.971966	0.197465	0.973473	-0.398459
27	1.69646	0.939058	-0.227679	0	0.96776	0.223561	0.970342	-0.45124
28	1.75929	0.930021	-0.25932	0	0.962162	0.255594	0.966595	-0.514915
29	1.82212	0.918206	-0.295624	0	0.954355	0.297087	0.962122	-0.592711
30	1.88496	0.902034	-0.333052	0	0.942713	0.355879	0.956848	-0.688931
31	1.94779	0.878216	-0.356298	0	0.923594	0.452607	0.950868	-0.808905
32	2.01062	0.83929	-0.304159	0	0.888307	0.653453	0.94482	-0.957612
33	2.07345	0.779647	0.0397226	0	0.829119	1.17376	0.940331	-1.13404
34	2.13628	0.782351	0.64317	0	0.83472	1.9626	0.937261	-1.31943
35	2.19911	0.818813	0.873373	0	0.875021	2.36278	0.935764	-1.4894
36	2.26195	0.84318	0.904861	0	0.900261	2.54529	0.936596	-1.64043
37	2.32478	0.858842	0.881601	0	0.915191	2.65689	0.938429	-1.77529
38	2.38761	0.86984	0.844416	0	0.924841	2.7412	0.94053	-1.89678
39	2.45044	0.878011	0.805908	0	0.931519	2.81306	0.942559	-2.00715
40	2.51327	0.884282	0.770256	0	0.936361	2.87843	0.944382	-2.10818
41	2.57611	0.889186	0.738745	0	0.939987	2.94005	0.945956	-2.2013
