#1:nx	2:kx	3:1.abs	4:1.angle	5:2.abs	6:2.angle	7:tr.abs	8:tr.angle,	9:rho_kappa.tr
0	0	0.0841964	3.14159	0.508433	-3.14159	0.592629	3.14159	1
1	0.125664	0.0732175	2.57847	0.581138	-2.57847	0.616181	-2.68595	1
2	0.251327	0.0605384	2.20511	0.689914	-2.20511	0.674379	-2.29092	1
3	0.376991	0.0517929	1.92499	0.780756	-1.92499	0.742189	-1.97041	1
4	0.502655	0.0454377	1.69868	0.847962	-1.69868	0.804085	-1.71297	1
5	0.628319	0.0402621	1.50873	0.894054	-1.50873	0.854117	-1.50289	1
6	0.753982	0.0354594	1.34578	0.924654	-1.34578	0.892858	-1.32851	1
7	0.879646	0.030535	1.20332	0.945082	-1.20332	0.922656	-1.18113	1
8	1.00531	0.025219	1.07652	0.959361	-1.07652	0.945728	-1.05425	1
9	1.13097	0.0194452	0.961411	0.970037	-0.961411	0.963505	-0.942465	1
10	1.25664	0.013382	0.855017	0.978491	-0.855017	0.976724	-0.841449	1
11	1.3823	0.00751469	0.75496	0.985097	-0.75496	0.985583	-0.747349	1
12	1.50796	0.00271434	0.659697	0.989544	-0.659697	0.990223	-0.657042	1
13	1.63363	0.00015589	0.567917	0.991761	-0.567917	0.991827	-0.567775	1
14	1.75929	0.000909079	0.479083	0.99467	-0.479083	0.995193	-0.478335	1
15	1.88496	0.00528591	0.400167	0.993372	-0.400167	0.997061	-0.396363	1
16	2.01062	0.0125899	0.331927	0.987341	-0.331927	0.997288	-0.324149	1
17	2.13628	0.0215064	0.273529	0.978227	-0.273529	0.996658	-0.262305	1
18	2.26195	0.0307264	0.223615	0.967951	-0.223615	0.995744	-0.21027	1
19	2.38761	0.0393197	0.180664	0.957977	-0.180664	0.994855	-0.166692	1
20	2.51327	0.0467719	0.143228	0.94916	-0.143228	0.994114	-0.129934	1
21	2.63894	0.0528659	0.11003	0.941887	-0.11003	0.993545	-0.0984148	1
22	2.7646	0.0575509	0.0799797	0.936277	-0.0799797	0.993135	-0.0707496	1
23	2.89027	0.0608502	0.0521488	0.932323	-0.0521488	0.992863	-0.0457682	1
24	3.01593	0.0628067	0.025731	0.929979	-0.025731	0.992708	-0.0224765	1
25	3.14159	0.0634547	3.94455e-16	0.929203	-5.69559e-16	0.992658	-5.07935e-16	1
26	3.26726	0.0628067	-0.025731	0.929979	0.025731	0.992708	0.0224765	1
27	3.39292	0.0608502	-0.0521488	0.932323	0.0521488	0.992863	0.0457682	1
28	3.51858	0.0575509	-0.0799797	0.936277	0.0799797	0.993135	0.0707496	1
29	3.64425	0.0528659	-0.11003	0.941887	0.11003	0.993545	0.0984148	1
30	3.76991	0.0467719	-0.143228	0.94916	0.143228	0.994114	0.129934	1
31	3.89557	0.0393197	-0.180664	0.957977	0.180664	0.994855	0.166692	1
32	4.02124	0.0307264	-0.223615	0.967951	0.223615	0.995744	0.21027	1
33	4.1469	0.0215064	-0.273529	0.978227	0.273529	0.996658	0.262305	1
34	4.27257	0.0125899	-0.331927	0.987341	0.331927	0.997288	0.324149	1
35	4.39823	0.00528591	-0.400167	0.993372	0.400167	0.997061	0.396363	1
36	4.52389	0.000909079	-0.479083	0.99467	0.479083	0.995193	0.478335	1
37	4.64956	0.00015589	-0.567917	0.991761	0.567917	0.991827	0.567775	1
38	4.77522	0.00271434	-0.659697	0.989544	0.659697	0.990223	0.657042	1
39	4.90088	0.00751469	-0.75496	0.985097	0.75496	0.985583	0.747349	1
40	5.02655	0.013382	-0.855017	0.978491	0.855017	0.976724	0.841449	1
41	5.15221	0.0194452	-0.961411	0.970037	0.961411	0.963505	0.942465	1
42	5.27788	0.025219	-1.07652	0.959361	1.07652	0.945728	1.05425	1
43	5.40354	0.030535	-1.20332	0.945082	1.20332	0.922656	1.18113	1
44	5.5292	0.0354594	-1.34578	0.924654	1.34578	0.892858	1.32851	1
45	5.65487	0.0402621	-1.50873	0.894054	1.50873	0.854117	1.50289	1
46	5.78053	0.0454377	-1.69868	0.847962	1.69868	0.804085	1.71297	1
47	5.90619	0.0517929	-1.92499	0.780756	1.92499	0.742189	1.97041	1
48	6.03186	0.0605384	-2.20511	0.689914	2.20511	0.674379	2.29092	1
49	6.15752	0.0732175	-2.57847	0.581138	2.57847	0.616181	2.68595	1
