#1:nx	2:kx	3:1.abs	4:1.angle	5:2.abs	6:2.angle	7:3.abs	8:3.angle	9:4.abs	10:4.angle	11:tr.abs	12:tr.angle,	13:rho_kappa.tr
0	0	1.67188e-05	3.14159	1.67188e-05	3.14159	0.998944	3.14159	0.998944	3.14159	1.99792	3.14159	2
1	0.125664	1.68366e-05	2.74814	1.68366e-05	-2.74814	0.999095	-2.74814	0.999095	2.74814	1.84554	3.14159	2
2	0.251327	1.71957e-05	2.38051	1.71957e-05	-2.38051	0.999416	-2.38051	0.999416	2.38051	1.44736	3.14159	2
3	0.376991	1.78108e-05	2.05519	1.78108e-05	-2.05519	0.999697	-2.05519	0.999697	2.05519	0.93108	3.14159	2
4	0.502655	1.87022e-05	1.7772	1.87022e-05	-1.7772	0.999862	-1.7772	0.999862	1.7772	0.409832	3.14159	2
5	0.628319	1.98965e-05	1.54369	1.98965e-05	-1.54369	0.999938	-1.54369	0.999938	1.54369	0.0541971	0	2
6	0.753982	2.14284e-05	1.3484	2.14284e-05	-1.3484	0.999966	-1.3484	0.999966	1.3484	0.441127	0	2
7	0.879646	2.33406e-05	1.18447	2.33406e-05	-1.18447	0.999974	-1.18447	0.999974	1.18447	0.75358	0	2
8	1.00531	2.56843e-05	1.04572	2.56843e-05	-1.04572	0.999974	-1.04572	0.999974	1.04572	1.00255	0	2
9	1.13097	2.85174e-05	0.927058	2.85174e-05	-0.927058	0.999971	-0.927058	0.999971	0.927058	1.20038	0	2
10	1.25664	3.19026e-05	0.824382	3.19026e-05	-0.824382	0.999966	-0.824382	0.999966	0.824382	1.35802	0	2
11	1.3823	3.5904e-05	0.73447	3.5904e-05	-0.73447	0.99996	-0.734471	0.99996	0.734471	1.48437	0	2
12	1.50796	4.05816e-05	0.654785	4.05816e-05	-0.654785	0.999954	-0.654785	0.999954	0.654785	1.58635	0	2
13	1.63363	4.5983e-05	0.58332	4.5983e-05	-0.58332	0.999946	-0.58332	0.999946	0.58332	1.66926	0	2
14	1.75929	5.21334e-05	0.51848	5.21334e-05	-0.51848	0.999938	-0.518479	0.999938	0.518479	1.73713	0	2
15	1.88496	5.90229e-05	0.458984	5.90229e-05	-0.458984	0.999929	-0.458983	0.999929	0.458983	1.79299	0	2
16	2.01062	6.65915e-05	0.403797	6.65915e-05	-0.403797	0.999919	-0.403797	0.999919	0.403797	1.83913	0	2
17	2.13628	7.47158e-05	0.352083	7.47158e-05	-0.352083	0.999909	-0.352075	0.999909	0.352075	1.87729	0	2
18	2.26195	8.31976e-05	0.303118	8.31976e-05	-0.303118	0.999898	-0.303126	0.999898	0.303126	1.90878	0	2
19	2.38761	9.17595e-05	0.256389	9.17595e-05	-0.256389	0.999887	-0.256376	0.999887	0.256376	1.93459	0	2
20	2.51327	0.000100051	0.211342	0.000100051	-0.211342	0.999876	-0.211349	0.999876	0.211349	1.95545	0	2
21	2.63894	0.000107665	0.167636	0.000107665	-0.167636	0.999867	-0.167647	0.999867	0.167647	1.97191	0	2
22	2.7646	0.000114175	0.124958	0.000114175	-0.124958	0.999858	-0.124933	0.999858	0.124933	1.98436	0	2
23	2.89027	0.000119173	0.0829368	0.000119173	-0.0829368	0.999852	-0.0829179	0.999852	0.0829179	1.99307	0	2
24	3.01593	0.000122322	0.0413564	0.000122322	-0.0413564	0.999848	-0.0413502	0.999848	0.0413502	1.99823	0	2
25	3.14159	0.000123398	-6.06571e-16	0.000123398	6.06571e-16	0.999846	3.34507e-16	0.999846	-3.34507e-16	1.99994	0	2
26	3.26726	0.000122322	-0.0413456	0.000122322	0.0413456	0.999848	0.0413502	0.999848	-0.0413502	1.99823	0	2
27	3.39292	0.000119173	-0.0829013	0.000119173	0.0829013	0.999852	0.0829179	0.999852	-0.0829179	1.99307	0	2
