#1:ny	2:kappa_y	3:T	4:1.abs	5:1.angle	6:2.abs	7:2.angle	8:tr.abs	9:tr.angle,	10:rho_kappa.tr
0	0	0.02	1	3.14159	1	2.27194	1.81389	2.70677	1
0	0	0.04	1	3.14159	1	-0.759993	0.741835	-1.95079	1
0	0	0.06	1	3.12634	1	-3.14159	1.99994	3.13397	1
0	0	0.08	1	3.14045	1	-3.14044	2	-3.14159	0.999989
0	0	0.1	1	-3.13551	1	3.13551	1.99996	3.14159	0.999891
0	0	0.12	1	-3.12289	1	3.12289	1.99965	-3.14159	0.999503
0	0	0.14	1	-3.09955	1	3.09955	1.99823	-3.14159	0.99854
0	0	0.16	1	3.06394	1	-3.06394	1.99397	3.14159	0.996738
0	0	0.18	1	3.0159	1	-3.0159	1.98422	3.14159	0.993943
0	0	0.2	1	2.95623	1	-2.95623	1.96574	3.14159	0.990126
0	0	0.22	1	-2.88634	1	2.88634	1.9352	-3.14159	0.985368
0	0	0.24	1	-2.8079	1	2.8079	1.88968	-3.14159	0.979822
0	0	0.26	1	-2.72267	1	2.72267	1.82706	3.14159	0.973679
0	0	0.28	1	2.63239	1	-2.63239	1.74626	-3.14159	0.967141
0	0	0.3	1	-2.53864	1	2.53864	1.64733	-3.14159	0.960397
0	0	0.32	1	-2.44287	1	2.44287	1.53134	-3.14159	0.953616
0	0	0.34	1	2.34633	1	-2.34633	1.4002	3.14159	0.946937
0	0	0.36	1	-2.25008	1	2.25008	1.25647	3.14159	0.940473
0	0	0.38	1	2.15498	1	-2.15498	1.10304	3.14159	0.934308
0	0	0.4	1	2.06175	1	-2.06175	0.942927	3.14159	0.928503
0	0	0.42	1	1.97092	1	-1.97092	0.779064	3.14159	0.923097
0	0	0.44	1	-1.88292	1	1.88292	0.614152	3.14159	0.918112
0	0	0.46	1	1.79803	1	-1.79803	0.450564	-3.14159	0.913557
0	0	0.48	1	-1.71646	1	1.71646	0.290293	3.14159	0.909431
0	0	0.5	1	1.63832	1	-1.63832	0.13494	-3.14159	0.905723
0	0	0.52	1	1.56366	1	-1.56366	0.0142729	-2.80028e-13	0.902419
0	0	0.54	1	1.49248	1	-1.49248	0.156469	-1.20623e-14	0.899498
0	0	0.56	1	1.42474	1	-1.42474	0.291076	-6.10273e-15	0.896938
0	0	0.58	1	-1.36036	1	1.36036	0.417774	2.65747e-16	0.894717
0	0	0.6	1	-1.29924	1	1.29924	0.536455	1.03478e-15	0.89281
0	0	0.62	1	-1.24128	1	1.24128	0.647176	3.08788e-15	0.891193
0	0	0.64	1	1.18634	1	-1.18634	0.750119	-2.81212e-15	0.889842
0	0	0.66	1	-1.13428	1	1.13428	0.845561	4.0703e-15	0.888735
0	0	0.68	1	-1.08499	1	1.08499	0.933842	3.68552e-15	0.887851
0	0	0.7	1	-1.03832	1	1.03832	1.01534	1.31213e-15	0.887169
0	0	0.72	1	0.994125	1	-0.994125	1.09047	-4.07244e-16	0.88667
0	0	0.74	1	0.952285	1	-0.952285	1.15965	-2.20198e-15	0.886337
0	0	0.76	1	-0.912667	1	0.912667	1.22328	1.72441e-15	0.886153
0	0	0.78	1	-0.875147	1	0.875147	1.28177	1.21263e-15	0.886103
0	0	0.8	1	0.839606	1	-0.839606	1.33551	-1.82888e-15	0.886173
0	0	0.82	1	-0.80593	1	0.80593	1.38488	1.28268e-15	0.886351
0	0	0.84	1	-0.77401	1	0.77401	1.43023	1.31964e-15	0.886624
0	0	0.86	1	-0.743745	1	0.743745	1.47188	-1.05601e-15	0.886983
0	0	0.88	1	-0.715036	1	0.715036	1.51014	1.17629e-15	0.887418
0	0	0.9	1	-0.687793	1	0.687793	1.5453	-2.15536e-16	0.88792
0	0	0.92	1	0.66193	1	-0.66193	1.57762	2.81494e-16	0.88848
0	0	0.94	1	0.637365	1	-0.637365	1.60733	-6.21651e-16	0.889093
0	0	0.96	1	-0.614022	1	0.614022	1.63467	-2.71668e-16	0.889751
0	0	0.98	1	0.59183	1	-0.59183	1.65984	-6.68872e-16	0.890449
0	0	1	1	0.570721	1	-0.570721	1.68302	2.63864e-16	0.891181

1	0.0628319	0.02	1	3.14159	1	2.27194	1.81389	2.70677	1
1	0.0628319	0.04	1	3.14159	1	-0.759993	0.741835	-1.95079	1
1	0.0628319	0.06	1	3.12634	1	-3.14159	1.99994	3.13397	1
1	0.0628319	0.08	1	3.14045	1	-3.14044	2	-3.14159	0.999994
1	0.0628319	0.1	1	-3.13551	1	3.13551	1.99996	3.14159	0.999934
1	0.0628319	0.12	1	-3.12289	1	3.12289	1.99965	-3.14159	0.999672
1	0.0628319	0.14	1	-3.09955	1	3.09955	1.99823	-3.14159	0.998978
1	0.0628319	0.16	1	3.06394	1	-3.06394	1.99397	3.14159	0.997614
1	0.0628319	0.18	1	3.0159	1	-3.0159	1.98422	3.14159	0.995414
1	0.0628319	0.2	1	2.95623	1	-2.95623	1.96574	3.14159	0.992315
1	0.0628319	0.22	1	-2.88634	1	2.88634	1.9352	-3.14159	0.988348
1	0.0628319	0.24	1	-2.8079	1	2.8079	1.88968	-3.14159	0.983622
1	0.0628319	0.26	1	-2.72267	1	2.72267	1.82706	3.14159	0.978285
