#1:m	2:T	3:1.abs	4:1.angle	5:2.abs	6:2.angle	7:tr.abs	8:tr.angle	9:rho_ky.tr
-1	0.02	4.65977e-25	2.02054	1	1.02806e-20	1	1.0281e-20	1
-1	0.03	2.3519e-25	2.51593	1	-3.82249e-21	1	-3.82235e-21	1
-1	0.04	1.93565e-22	1.56879	1	1.78534e-17	1	1.78536e-17	1
-1	0.05	4.24835e-18	1.5708	1	-2.86623e-17	1	-2.44139e-17	1
-1	0.06	3.33824e-15	1.5708	1	-4.31308e-16	1	2.90693e-15	1
-1	0.07	3.90469e-13	-1.5708	1	1.84477e-14	1	-3.72021e-13	1
-1	0.08	1.38879e-11	1.5708	1	-7.38632e-13	1	1.31493e-11	1
-1	0.09	2.23363e-10	-1.5708	1	1.31162e-11	1	-2.10247e-10	1
-1	0.1	2.06115e-09	-4.55569e-17	1	3.63593e-18	1	3.63593e-18	1
-1	0.11	1.2698e-08	3.14159	1	-2.95729e-18	1	-2.95729e-18	1
-1	0.12	5.77775e-08	-1.5708	1	4.27663e-09	1	-5.35008e-08	1
-1	0.13	2.08231e-07	-1.5708	1	1.63919e-08	1	-1.9184e-07	1
-1	0.14	6.24875e-07	1.5708	0.999999	-5.20094e-08	0.999999	5.72866e-07	1
-1	0.15	1.6196e-06	-9.3976e-17	0.999998	5.09366e-17	1	5.09364e-17	1
-1	0.16	3.72666e-06	0	0.999996	0	0.999999	0	1
-1	0.17	7.77416e-06	0	0.999991	0	0.999999	0	1
-1	0.18	1.49454e-05	0	0.999982	0	0.999997	0	1
-1	0.19	2.68214e-05	0	0.999968	0	0.999994	0	1
-1	0.2	4.54004e-05	0	0.999945	0	0.99999	0	1
-1	0.21	7.30919e-05	0	0.999911	0	0.999984	0	1
-1	0.22	0.000112688	0	0.999862	0	0.999974	0	1
-1	0.23	0.000167318	0	0.999794	0	0.999961	0	1
-1	0.24	0.000240383	0	0.999702	0	0.999943	0	1
-1	0.25	0.00033549	0	0.999583	0	0.999918	0	1
-1	0.26	0.000456376	0	0.99943	0	0.999886	0	1
-1	0.27	0.000606835	0	0.999239	0	0.999846	0	1
-1	0.28	0.000790651	0	0.999005	0	0.999796	0	1
-1	0.29	0.00101153	0	0.998723	0	0.999734	0	1
-1	0.3	0.00127306	0	0.998387	0	0.99966	0	1
-1	0.31	0.00157864	0	0.997994	0	0.999572	0	1
-1	0.32	0.00193147	0	0.997538	0	0.99947	0	1
-1	0.33	0.00233448	0	0.997017	0	0.999352	0	1
-1	0.34	0.00279037	0	0.996426	0	0.999216	0	1
-1	0.35	0.00330155	0	0.995762	0	0.999063	0	1
-1	0.36	0.00387013	0	0.995022	0	0.998892	0	1
-1	0.37	0.00449794	0	0.994204	0	0.998702	0	1
-1	0.38	0.00518655	0	0.993305	0	0.998492	0	1
-1	0.39	0.00593721	0	0.992325	0	0.998263	0	1
-1	0.4	0.00675093	0	0.991262	0	0.998013	0	1
-1	0.41	0.00762845	0	0.990116	0	0.997744	0	1
-1	0.42	0.00857026	0	0.988885	0	0.997455	0	1
-1	0.43	0.00957662	0	0.98757	0	0.997146	0	1
-1	0.44	0.0106476	0	0.986171	0	0.996819	0	1
-1	0.45	0.011783	0	0.984689	0	0.996472	0	1
-1	0.46	0.0129825	0	0.983125	0	0.996107	0	1
-1	0.47	0.0142456	0	0.98148	0	0.995725	0	1
-1	0.48	0.0155716	0	0.979755	0	0.995326	0	1
-1	0.49	0.0169598	0	0.977952	0	0.994911	0	1
-1	0.5	0.018409	0	0.976072	0	0.994481	0	1
-1	0.51	0.0199184	0	0.974119	0	0.994037	0	1

-0.9	0.02	8.09597e-26	-1.41102	1	-8.63823e-20	1	-8.63824e-20	1
-0.9	0.03	8.30281e-25	-2.36091	1	5.2019e-19	1	5.20189e-19	1
-0.9	0.04	2.86265e-20	-4.76913e-06	1	3.78442e-17	1	3.78442e-17	1
-0.9	0.05	2.31952e-16	1.5708	1	8.08568e-17	1	3.12809e-16	1
