#1:m	2:T	3:1.abs	4:1.angle	5:2.abs	6:2.angle	7:tr.abs	8:tr.angle	9:rho_ky.tr
-1	0.02	1.92875e-22	7.86364e-18	1	-1.11022e-16	1	-1.11022e-16	1
-1	0.07	6.24875e-07	1.5708	0.999999	-5.20095e-08	0.999999	5.72866e-07	1
-1	0.12	0.000240325	0	0.999702	0	0.999943	0	1
-1	0.17	0.00278266	0	0.996434	0	0.999217	0	1
-1	0.22	0.0105381	0	0.986284	0	0.996822	0	1
-1	0.27	0.0242273	0	0.968416	0	0.992643	0	1
-1	0.32	0.0426715	0	0.944808	0	0.98748	0	1
-1	0.37	0.0641113	0	0.918223	0	0.982335	0	1
-1	0.42	0.0869522	0	0.890989	0	0.977941	0	1
-1	0.47	0.109995	0	0.864665	0	0.974659	0	1
-1	0.52	0.132429	0	0.84013	0	0.972559	0	1
-1	0.57	0.153759	0	0.817775	0	0.971534	0	1
-1	0.62	0.173714	0	0.797681	0	0.971395	0	1
-1	0.67	0.192181	0	0.779755	0	0.971936	0	1
-1	0.72	0.209149	0	0.763816	0	0.972964	0	1
-1	0.77	0.22467	0	0.749647	0	0.974317	0	1
-1	0.82	0.238835	0	0.737028	0	0.975863	0	1
-1	0.87	0.25175	0	0.725754	0	0.977504	0	1
-1	0.92	0.263529	0	0.715637	0	0.979166	0	1
-1	0.97	0.274284	0	0.706515	0	0.980799	0	1

-0.9	0.02	2.86252e-20	-3.14159	1	-1.11022e-16	1	-1.11022e-16	1
-0.9	0.07	2.60743e-06	1.5708	0.999997	-2.50038e-07	0.999997	2.3574e-06	1
-0.9	0.12	0.000552862	0	0.999296	0	0.999849	0	1
-0.9	0.17	0.00500406	0	0.993394	0	0.998398	0	1
-0.9	0.22	0.0165453	0	0.977824	0	0.994369	0	1
-0.9	0.27	0.0348895	0	0.953259	0	0.988149	0	1
-0.9	0.32	0.0578824	0	0.923302	0	0.981184	0	1
-0.9	0.37	0.0832387	0	0.891593	0	0.974831	0	1
-0.9	0.42	0.109186	0	0.860691	0	0.969877	0	1
-0.9	0.47	0.134533	0	0.832041	0	0.966574	0	1
-0.9	0.52	0.15856	0	0.806272	0	0.964832	0	1
-0.9	0.57	0.180881	0	0.783514	0	0.964394	0	1
-0.9	0.62	0.201341	0	0.763617	0	0.964957	0	1
-0.9	0.67	0.219929	0	0.746305	0	0.966233	0	1
-0.9	0.72	0.236723	0	0.731254	0	0.967977	0	1
-0.9	0.77	0.251852	0	0.718145	0	0.969996	0	1
-0.9	0.82	0.265464	0	0.706681	0	0.972145	0	1
-0.9	0.87	0.277718	0	0.6966	0	0.974319	0	1
-0.9	0.92	0.288766	0	0.68768	0	0.976446	0	1
-0.9	0.97	0.298748	0	0.679732	0	0.978481	0	1

-0.8	0.02	4.24835e-18	2.24875e-18	1	0	1	9.55349e-36	1
-0.8	0.07	1.088e-05	1.5708	0.999988	-1.2166e-06	0.999988	9.66356e-06	1
-0.8	0.12	0.00127153	0	0.998327	0	0.999599	0	1
-0.8	0.17	0.00899114	0	0.987707	0	0.996698	0	1
-0.8	0.22	0.0259457	0	0.964036	0	0.989982	0	1
-0.8	0.27	0.0501922	0	0.9307	0	0.980892	0	1
-0.8	0.32	0.0784788	0	0.893283	0	0.971761	0	1
-0.8	0.37	0.108101	0	0.856141	0	0.964242	0	1
-0.8	0.42	0.137241	0	0.821778	0	0.95902	0	1
-0.8	0.47	0.164813	0	0.791284	0	0.956097	0	1
-0.8	0.52	0.190244	0	0.764887	0	0.955131	0	1
-0.8	0.57	0.213302	0	0.742366	0	0.955669	0	1
-0.8	0.62	0.233969	0	0.723299	0	0.957268	0	1
-0.8	0.67	0.252353	0	0.707202	0	0.959555	0	1
-0.8	0.72	0.268636	0	0.693601	0	0.962237	0	1
-0.8	0.77	0.283032	0	0.682067	0	0.965098	0	1
-0.8	0.82	0.295759	0	0.672227	0	0.967986	0	1
-0.8	0.87	0.30703	0	0.663769	0	0.970799	0	1
-0.8	0.92	0.317042	0	0.656431	0	0.973473	0	1
-0.8	0.97	0.325969	0	0.650003	0	0.975971	0	1

-0.7	0.02	6.30512e-16	-7.22527e-18	1	-1.11022e-16	1	-1.11022e-16	1
-0.7	0.07	4.53984e-05	0	0.999943	0	0.999988	0	1
-0.7	0.12	0.00292292	0	0.995997	0	0.99892	0	1
-0.7	0.17	0.0161361	0	0.977013	0	0.993149	0	1
-0.7	0.22	0.0406454	0	0.94149	0	0.982135	0	1
-0.7	0.27	0.0722058	0	0.897022	0	0.969228	0	1
-0.7	0.32	0.106557	0	0.851207	0	0.957764	0	1
-0.7	0.37	0.140807	0	0.808629	0	0.949436	0	1
-0.7	0.42	0.173255	0	0.771291	0	0.944545	0	1
-0.7	0.47	0.203009	0	0.739648	0	0.942657	0	1
-0.7	0.52	0.22969	0	0.713385	0	0.943076	0	1
-0.7	0.57	0.253239	0	0.69187	0	0.945109	0	1
-0.7	0.62	0.273788	0	0.674382	0	0.94817	0	1
-0.7	0.67	0.291584	0	0.660222	0	0.951806	0	1
-0.7	0.72	0.306925	0	0.648764	0	0.955689	0	1
-0.7	0.77	0.320126	0	0.639468	0	0.959594	0	1
