#1:n	2:abs	3:ang
0	0.00101067	0.43492
1	0.00101441	0.435257
2	0.00102066	0.435818
3	0.00102946	0.436604
4	0.00104088	0.437617
5	0.00105497	0.438856
6	0.00107183	0.440324
7	0.00109157	0.442021
8	0.0011143	0.44395
9	0.00114017	0.446111
10	0.00116935	0.448508
11	0.00120202	0.451143
12	0.0012384	0.454017
13	0.00127871	0.457133
14	0.00132323	0.460494
15	0.00137224	0.464102
16	0.00142607	0.46796
17	0.00148508	0.472069
18	0.00154968	0.476432
19	0.00162029	0.481049
20	0.0016974	0.485922
21	0.00178156	0.491051
22	0.00187334	0.496433
23	0.00197339	0.502067
24	0.00208244	0.507948
25	0.00220127	0.51407
26	0.00233075	0.520424
27	0.00247184	0.526997
28	0.0026256	0.533773
29	0.0027932	0.540733
30	0.00297594	0.547851
31	0.00317528	0.555095
32	0.00339279	0.562424
33	0.00363029	0.569793
34	0.00388974	0.577138
35	0.00417344	0.584405
36	0.00448377	0.591468
37	0.00482395	0.59833
38	0.00519603	0.604648
39	0.0056074	0.610704
40	0.00605077	0.615823
41	0.0065636	0.619154
42	0.0070699	0.627475
43	0.00770044	0.610858
44	0.00832729	0.666667
45	0.00879081	0.580213
46	0.00990869	0.74142
47	0.00994858	0.531735
48	0.0111695	0.475133
49	0.0117753	0.816558
50	0.0123927	0.410723
51	0.0134723	-0.731521
52	0.0135221	-0.759487
53	0.0135528	-0.704499
54	0.0135705	0.339083
55	0.0135791	0.896169
56	0.0137152	-0.789749
57	0.0137507	-0.67717
58	0.0140508	-0.648311
59	0.0140704	-0.823551
60	0.014438	-0.616501
61	0.0146191	-0.862005
62	0.0146726	0.261008
63	0.0148977	-0.580331
64	0.0154105	-0.907027
65	0.015411	-0.53875
66	0.0155017	1.02274
67	0.0156649	0.178503
68	0.0159517	-0.491077
69	0.0164717	-0.963201
70	0.0164868	-0.436952
71	0.0164987	0.0936329
72	0.0169758	-0.376301
73	0.0171286	0.00803615
74	0.0171445	-0.830223
75	0.0173724	-0.30932
76	0.0175278	-0.0766343
77	0.0176263	-0.236516
78	0.0176895	-0.158628
79	0.0177547	-1.03039
80	0.0180144	1.1686
81	0.0193031	-1.10539
82	0.0210642	1.32296
83	0.0211921	-1.1885
84	0.0234954	-1.28066
85	0.0247234	1.48649
86	0.0262938	-1.38356
87	0.0291982	1.65969
88	0.0297163	-1.50069
89	0.0340311	-1.63654
90	0.0348944	1.84332
91	0.0397318	-1.79522
92	0.0426524	2.03967
93	0.047736	-1.98186
94	0.0545681	2.25402
95	0.0602231	-2.20506
96	0.0784475	2.48592
97	0.0855587	-2.47067
98	0.138803	2.48388
99	0.144642	1.63338
100	0.152207	-2.52284
101	0.161448	-1.30321
102	0.194523	2.26378
103	0.217493	-2.34625
104	0.240385	2.08147
105	0.272639	-2.1916
106	0.281083	1.92846
107	0.317749	1.79354
108	0.321577	-2.05763
109	0.350801	1.67084
110	0.365431	-1.93699
111	0.380664	1.55783
112	0.404879	-1.82516
113	0.408124	1.45318
114	0.434059	1.35509
115	0.440442	-1.71969
116	0.45875	1.2617
117	0.472553	-1.6201
118	0.481932	1.17216
119	0.496085	0.917173
120	0.502203	-1.52749
121	0.503333	1.0861
122	0.523367	1.00206
123	0.53144	-1.44149
124	0.545822	0.922247
125	0.561202	-1.35879
126	0.567339	0.855787
127	0.585337	0.796037
128	0.59038	-1.27811
129	0.600608	0.740679
130	0.613608	0.68892
131	0.613862	-0.631894
132	0.617948	-1.20071
133	0.624604	0.640153
134	0.633767	0.593824
135	0.641248	0.549456
136	0.643657	-1.12818
137	0.647256	0.506618
138	0.652081	0.464826
139	0.65605	0.423493
140	0.659463	0.382013
141	0.66261	0.339932
142	0.665856	0.297024
143	0.667912	-1.0614
144	0.66968	0.253278
145	0.674644	0.208894
146	0.68133	0.164289
147	0.690241	0.120067
148	0.691458	-1.00008
149	0.70165	0.0769651
150	0.714531	-0.942976
151	0.715518	0.0357546
152	0.731535	-0.00323627
153	0.736684	-0.88929
154	0.741052	-0.0610214
155	0.750763	-0.0427467
156	0.757476	-0.838989
157	0.776727	-0.792158
158	0.777669	-0.0697447
159	0.794366	-0.748729
160	0.799766	-0.0895913
161	0.810333	-0.708545
162	0.819517	-0.106653
163	0.824244	-0.495045
164	0.824623	-0.671473
165	0.837121	-0.121538
166	0.837367	-0.637411
167	0.848894	-0.606176
168	0.852602	-0.134729
169	0.859632	-0.577324
170	0.866142	-0.146657
171	0.869829	-0.550284
172	0.878033	-0.157802
173	0.879455	-0.524867
174	0.888236	-0.501271
175	0.888497	-0.168645
176	0.895839	-0.479558
177	0.897632	-0.179514
178	0.90213	-0.459699
179	0.905488	-0.190555
180	0.907353	-0.441882
181	0.9121	-0.201771
182	0.912398	-0.425944
183	0.917517	-0.213043
184	0.917603	-0.410659
185	0.921895	-0.224175
186	0.922281	-0.395525
187	0.92555	-0.235069
188	0.92614	-0.380789
189	0.928767	-0.245943
190	0.929217	-0.366591
191	0.931497	-0.257082
192	0.931582	-0.35295
193	0.933286	-0.339867
194	0.933567	-0.268515
195	0.934425	-0.327351
196	0.934907	-0.280139
197	0.935155	-0.315327
198	0.935539	-0.291847
199	0.935563	-0.303564
