#1:nx	2:kx	3:prod_amp	4:tot_phase	5:tot_winding	6:amp_1	7:phase_1	8:amp_2	9:phase_2
0	0	0.89042	0	0	0.94362	3.14159	0.94362	-3.14159
1	0.125664	0.892142	-4.44089e-16	0	0.944533	-2.78893	0.944533	2.78893
2	0.251327	0.896845	8.88178e-16	0	0.947019	2.45315	0.947019	-2.45315
3	0.376991	0.903427	8.88178e-16	0	0.950488	-2.14738	0.950488	2.14738
4	0.502655	0.910734	0	0	0.954324	-1.8785	0.954324	1.8785
5	0.628319	0.917963	-4.44089e-16	0	0.958104	-1.6471	0.958104	1.6471
6	0.753982	0.924724	-2.22045e-16	0	0.961626	-1.44949	0.961626	1.44949
7	0.879646	0.93093	-8.88178e-16	0	0.964847	-1.28	0.964847	1.28
8	1.00531	0.936658	-4.44089e-16	0	0.967811	1.13278	0.967811	-1.13278
9	1.13097	0.942055	-1.33227e-15	0	0.970595	1.0026	0.970595	-1.0026
10	1.25664	0.947279	-8.88178e-16	0	0.973282	-0.885146	0.973282	0.885146
11	1.3823	0.952451	-8.88178e-16	0	0.975936	0.777156	0.975936	-0.777156
12	1.50796	0.957602	-1.55431e-15	0	0.978572	0.676532	0.978572	-0.676532
13	1.63363	0.962624	-9.99201e-16	0	0.981134	-0.582461	0.981134	0.582461
14	1.75929	0.967273	-1.72085e-15	0	0.9835	-0.495344	0.9835	0.495344
15	1.88496	0.97128	-4.996e-16	0	0.985536	-0.416285	0.985536	0.416285
16	2.01062	0.974496	-1.05471e-15	0	0.987165	-0.346244	0.987165	0.346244
17	2.13628	0.976943	-1.05471e-15	0	0.988405	-0.285387	0.988405	0.285387
18	2.26195	0.978757	-1.11022e-15	0	0.989322	-0.233017	0.989322	0.233017
19	2.38761	0.980091	-5.27356e-16	0	0.989995	-0.187913	0.989995	0.187913
20	2.51327	0.981071	-1.02696e-15	0	0.99049	-0.148689	0.99049	0.148689
21	2.63894	0.981787	-6.245e-16	0	0.990852	-0.11403	0.990852	0.11403
22	2.7646	0.982298	-9.85323e-16	0	0.99111	0.0827734	0.99111	-0.0827734
23	2.89027	0.982642	-2.15106e-16	0	0.991283	0.053917	0.991283	-0.053917
24	3.01593	0.98284	-2.28983e-16	0	0.991383	0.0265877	0.991383	-0.0265877
25	3.14159	0.982905	8.52909e-17	0	0.991415	1.13618e-16	0.991415	-2.83274e-17
26	3.26726	0.98284	2.98372e-16	0	0.991383	-0.0265877	0.991383	0.0265877
27	3.39292	0.982642	5.41234e-16	0	0.991283	-0.053917	0.991283	0.053917
28	3.51858	0.982298	5.27356e-16	0	0.99111	-0.0827734	0.99111	0.0827734
29	3.64425	0.981787	4.85723e-16	0	0.990852	0.11403	0.990852	-0.11403
30	3.76991	0.981071	8.04912e-16	0	0.99049	0.148689	0.99049	-0.148689
31	3.89557	0.980091	6.38378e-16	0	0.989995	0.187913	0.989995	-0.187913
32	4.02124	0.978757	9.4369e-16	0	0.989322	-0.233017	0.989322	0.233017
33	4.1469	0.976943	1.16573e-15	0	0.988405	0.285387	0.988405	-0.285387
34	4.27257	0.974496	7.77156e-16	0	0.987165	0.346244	0.987165	-0.346244
35	4.39823	0.97128	4.996e-16	0	0.985536	0.416285	0.985536	-0.416285
36	4.52389	0.967273	1.72085e-15	0	0.9835	0.495344	0.9835	-0.495344
37	4.64956	0.962624	1.55431e-15	0	0.981134	0.582461	0.981134	-0.582461
38	4.77522	0.957602	1.66533e-15	0	0.978572	0.676532	0.978572	-0.676532
39	4.90088	0.952451	8.88178e-16	0	0.975936	0.777156	0.975936	-0.777156
40	5.02655	0.947279	6.66134e-16	0	0.973282	-0.885146	0.973282	0.885146
41	5.15221	0.942055	8.88178e-16	0	0.970595	-1.0026	0.970595	1.0026
42	5.27788	0.936658	1.77636e-15	0	0.967811	-1.13278	0.967811	1.13278
43	5.40354	0.93093	1.11022e-15	0	0.964847	1.28	0.964847	-1.28
44	5.5292	0.924724	-2.22045e-16	0	0.961626	1.44949	0.961626	-1.44949
45	5.65487	0.917963	2.22045e-16	0	0.958104	1.6471	0.958104	-1.6471
46	5.78053	0.910734	0	0	0.954324	1.8785	0.954324	-1.8785
47	5.90619	0.903427	-8.88178e-16	0	0.950488	2.14738	0.950488	-2.14738
48	6.03186	0.896845	-1.33227e-15	0	0.947019	-2.45315	0.947019	2.45315
49	6.15752	0.892142	0	0	0.944533	2.78893	0.944533	-2.78893
