#1:nx	2:kx	3:amp	4:phase	5:amp1	6:phase1	7:amp2	8:phase2
0	0	9.25438e-26	-0.0975659	5.63852e-35	0.0975659	9.25438e-26	-0.0975659
1	0.0628319	9.63362e-26	-0.113221	5.34262e-35	0.113221	9.63362e-26	-0.113221
2	0.125664	9.92582e-26	-0.128376	5.05236e-35	0.128376	9.92582e-26	-0.128376
3	0.188496	1.01209e-25	-0.143063	4.76967e-35	0.143063	1.01209e-25	-0.143063
4	0.251327	1.02117e-25	-0.157316	4.49634e-35	0.157316	1.02117e-25	-0.157316
5	0.314159	1.01941e-25	-0.171175	4.23398e-35	0.171176	1.01941e-25	-0.171175
6	0.376991	1.00675e-25	-0.184683	3.98395e-35	0.184683	1.00675e-25	-0.184683
7	0.439823	9.83505e-26	-0.197885	3.74739e-35	0.197885	9.83505e-26	-0.197885
8	0.502655	9.50341e-26	-0.210832	3.52517e-35	0.210832	9.50341e-26	-0.210832
9	0.565487	9.0824e-26	-0.223575	3.31795e-35	0.223575	9.0824e-26	-0.223575
10	0.628319	8.58461e-26	-0.23617	3.12612e-35	0.236169	8.58461e-26	-0.23617
11	0.69115	8.02468e-26	-0.248674	2.94989e-35	0.248674	8.02468e-26	-0.248674
12	0.753982	7.41859e-26	-0.261148	2.78931e-35	0.261148	7.41859e-26	-0.261148
13	0.816814	6.78283e-26	-0.273655	2.64428e-35	0.273655	6.78283e-26	-0.273655
14	0.879646	6.13365e-26	-0.28626	2.51461e-35	0.28626	6.13365e-26	-0.28626
15	0.942478	5.48629e-26	-0.299031	2.40006e-35	0.299031	5.48629e-26	-0.299031
16	1.00531	4.85443e-26	-0.312039	2.30033e-35	0.312039	4.85443e-26	-0.312039
17	1.06814	4.2497e-26	-0.325357	2.21518e-35	0.325358	4.2497e-26	-0.325357
18	1.13097	3.68141e-26	-0.339065	2.14438e-35	0.339065	3.68141e-26	-0.339065
19	1.19381	3.15645e-26	-0.353242	2.08779e-35	0.353242	3.15645e-26	-0.353242
20	1.25664	2.67927e-26	-0.367976	2.04539e-35	0.367976	2.67927e-26	-0.367976
21	1.31947	2.25212e-26	-0.383357	2.01727e-35	0.383357	2.25212e-26	-0.383357
22	1.3823	1.87526e-26	-0.399482	2.00375e-35	0.399482	1.87526e-26	-0.399482
23	1.44513	1.54734e-26	-0.416455	2.00532e-35	0.416455	1.54734e-26	-0.416455
24	1.50796	1.26571e-26	-0.434387	2.02275e-35	0.434387	1.26571e-26	-0.434387
25	1.5708	1.02683e-26	-0.453399	2.05712e-35	0.453399	1.02683e-26	-0.453399
26	1.63363	8.26594e-27	-0.47362	2.10988e-35	0.47362	8.26594e-27	-0.47362
27	1.69646	6.60602e-27	-0.495191	2.1829e-35	0.495191	6.60602e-27	-0.495191
28	1.75929	5.2443e-27	-0.518266	2.2786e-35	0.518266	5.2443e-27	-0.518266
29	1.82212	4.1381e-27	-0.543011	2.40002e-35	0.543011	4.1381e-27	-0.543011
30	1.88496	3.24759e-27	-0.569611	2.55096e-35	0.569611	3.24759e-27	-0.569611
31	1.94779	2.53672e-27	-0.598265	2.73614e-35	0.598265	2.53672e-27	-0.598265
32	2.01062	1.97357e-27	-0.629195	2.9614e-35	0.629195	1.97357e-27	-0.629195
33	2.07345	1.53053e-27	-0.662641	3.23392e-35	0.662641	1.53053e-27	-0.662641
34	2.13628	1.18411e-27	-0.698871	3.56251e-35	0.698871	1.18411e-27	-0.698871
35	2.19911	9.14714e-28	-0.738177	3.95794e-35	0.738177	9.14714e-28	-0.738177
36	2.26195	7.06166e-28	-0.78088	4.43332e-35	0.78088	7.06166e-28	-0.78088
37	2.32478	5.4534e-28	-0.827335	5.00459e-35	0.827335	5.4534e-28	-0.827335
38	2.38761	4.21688e-28	-0.87793	5.691e-35	0.87793	4.21688e-28	-0.87793
39	2.45044	3.26828e-28	-0.93309	6.51568e-35	0.93309	3.26828e-28	-0.93309
40	2.51327	2.5416e-28	-0.993282	7.50622e-35	0.993283	2.5416e-28	-0.993283
41	2.57611	1.9853e-28	-1.05902	8.69529e-35	1.05902	1.9853e-28	-1.05902
42	2.63894	1.5594e-28	-1.13085	1.01211e-34	1.13085	1.5594e-28	-1.13085
43	2.70177	1.2331e-28	-1.20938	1.18276e-34	1.20939	1.2331e-28	-1.20939
44	2.7646	9.8278e-29	-1.29529	1.3865e-34	1.29529	9.82781e-29	-1.29529
45	2.82743	7.9041e-29	-1.38927	1.62884e-34	1.38927	7.90411e-29	-1.38927
46	2.89027	6.4227e-29	-1.49214	1.91574e-34	1.49214	6.42272e-29	-1.49214
47	2.9531	5.27959e-29	-1.60475	2.2533e-34	1.60475	5.27961e-29	-1.60475
48	3.01593	4.39612e-29	-1.72809	2.64733e-34	1.72808	4.39615e-29	-1.72808
49	3.07876	3.7131e-29	-1.86326	3.10262e-34	1.86326	3.71313e-29	-1.86326
50	3.14159	3.18627e-29	-2.01154	3.62173e-34	2.01153	3.1863e-29	-2.01153
51	3.20442	2.78307e-29	-2.17439	4.20292e-34	2.17438	2.78308e-29	-2.17438
52	3.26726	2.4803e-29	-2.3534	4.8369e-34	2.35338	2.4803e-29	-2.35338
53	3.33009	2.26278e-29	-2.55011	5.50179e-34	2.55009	2.26276e-29	-2.55009
54	3.39292	2.12266e-29	-2.76554	6.15685e-34	2.76552	2.12262e-29	-2.76552
55	3.45575	2.05937e-29	-2.99924	6.73805e-34	2.99923	2.05931e-29	-2.99923
56	3.51858	2.07986e-29	3.03513	7.16309e-34	-3.03512	2.07979e-29	3.03512
57	3.58142	2.19874e-29	2.77791	7.35434e-34	-2.77788	2.19869e-29	2.77788
58	3.64425	2.43824e-29	2.52193	7.27464e-34	-2.5219	2.43822e-29	2.5219
59	3.70708	2.82844e-29	2.27729	6.94947e-34	-2.27727	2.82845e-29	2.27727
60	3.76991	3.40885e-29	2.05162	6.45318e-34	-2.05161	3.40889e-29	2.05161
61	3.83274	4.23191e-29	1.84874	5.87243e-34	-1.84873	4.23196e-29	1.84873
62	3.89557	5.36804e-29	1.66909	5.27711e-34	-1.66908	5.3681e-29	1.66908
63	3.95841	6.91209e-29	1.51107	4.71121e-34	-1.51107	6.91214e-29	1.51107
64	4.02124	8.99094e-29	1.3722	4.1967e-34	-1.37221	8.99098e-29	1.37221
65	4.08407	1.17729e-28	1.24986	3.7411e-34	-1.24987	1.17729e-28	1.24987
66	4.1469	1.54789e-28	1.14162	3.34387e-34	-1.14162	1.54789e-28	1.14162
67	4.20973	2.03969e-28	1.04535	3.0006e-34	-1.04535	2.03969e-28	1.04535
68	4.27257	2.68981e-28	0.959262	2.70537e-34	-0.959263	2.68981e-28	0.959263
69	4.3354	3.54573e-28	0.881866	2.45203e-34	-0.881866	3.54573e-28	0.881866
70	4.39823	4.66754e-28	0.81191	2.23477e-34	-0.81191	4.66754e-28	0.81191
71	4.46106	6.13057e-28	0.74835	2.04837e-34	-0.74835	6.13057e-28	0.74835
72	4.52389	8.02819e-28	0.690308	1.8883e-34	-0.690308	8.02819e-28	0.690308
73	4.58673	1.04748e-27	0.637044	1.75061e-34	-0.637044	1.04748e-27	0.637044
74	4.64956	1.36088e-27	0.587929	1.63196e-34	-0.58793	1.36088e-27	0.58793
75	4.71239	1.75953e-27	0.542427	1.52948e-34	-0.542427	1.75953e-27	0.542427
76	4.77522	2.26287e-27	0.500077	1.44073e-34	-0.500077	2.26287e-27	0.500077
77	4.83805	2.89341e-27	0.460485	1.36364e-34	-0.460485	2.89341e-27	0.460485
